Source,Target,Type,Id,Weight
zapiskitrad,Agdchan,Directed,2609,106
Andrafanaslive,Agdchan,Directed,2618,7
epoddubny,Agdchan,Directed,2629,4
Sladkov_plus,Agdchan,Directed,2669,3
ordinaryczarizm,Agdchan,Directed,2670,2
Agdchan,zapiskitrad,Directed,2692,39
boriskorchevnikov,Agdchan,Directed,2708,2
aleksandr_skif,Agdchan,Directed,2733,3
dva_majors,Agdchan,Directed,2735,2
kartezianec,Agdchan,Directed,2736,62
spastv,Agdchan,Directed,2758,10
zhivoff,Agdchan,Directed,2759,6
Alekhin_Telega,Agdchan,Directed,2778,1
Alekhin_Telega,soldat_prav,Directed,2779,25
notes_veterans,Agdchan,Directed,2783,24
zhivoff,RDS_official_smi,Directed,2784,43
i_strelkov_2023,soldat_prav,Directed,2797,214
ordinaryczarizm,i_strelkov_2023,Directed,2823,2
interbrigady2022,Agdchan,Directed,2835,2
R_Vestovoi,rusfleet,Directed,2854,81
russdiary,Agdchan,Directed,2874,1
heartlandfire,Agdchan,Directed,2903,1
vladlentatarsky,heartlandfire,Directed,2933,1
wargonzo,heartlandfire,Directed,2944,5
notes_veterans,heartlandfire,Directed,2950,1
rossia_3,heartlandfire,Directed,2958,7
voenacher,heartlandfire,Directed,2986,3
Agdchan,heartlandfire,Directed,2988,7
zapiskitrad,heartlandfire,Directed,2989,8
voenkorKotenok,heartlandfire,Directed,2999,1
comradepelevin,heartlandfire,Directed,3003,3
rusfleet,heartlandfire,Directed,3026,1
Andrafanaslive,heartlandfire,Directed,3034,1
russdiary,heartlandfire,Directed,3037,1
kartezianec,heartlandfire,Directed,3040,2
beard_tim,heartlandfire,Directed,3047,1
epoddubny,heartlandfire,Directed,3051,1
heartlandfire,heartlandfire,Directed,3066,2
sashakots,heartlandfire,Directed,3071,1
nbstaroverov,fabric80,Directed,3076,3
interbrigady2022,fabric80,Directed,3079,1
kvmalofeev,zapiskitrad,Directed,3084,3
soldat_prav,i_strelkov_2023,Directed,3093,14
KRPRus,i_strelkov_2023,Directed,3094,3
rossia_3,zapiskitrad,Directed,3125,13
notes_veterans,RDS_official_smi,Directed,3127,9
zapiskitrad,zapiskitrad,Directed,3134,4
kartezianec,zapiskitrad,Directed,3145,3
heartlandfire,zapiskitrad,Directed,3152,4
zhivoff,zapiskitrad,Directed,3160,1
comradepelevin,zapiskitrad,Directed,3161,1
notes_veterans,rusfleet,Directed,3162,3
nwindpro,soldat_prav,Directed,3195,25
