channel_name,forward_channel_name,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,total_count,news,official ,foreign,irregular_source,Private_Deleted_Blocked,Selected 
Прямое действие⚡Z,ЛЕНИНГРИБ 🅉 (нацболы),11,8,7,9,9,28,26,24,28,42,15,207,0,0,0,0,0,1
Прямое действие⚡Z,Михаил Аксель,20,4,4,0,0,0,4,0,8,5,2,47,0,0,0,0,0,1
Прямое действие⚡Z,Новый Куйбышев (нацболы),7,1,0,1,0,0,2,2,1,0,0,14,0,0,0,0,0,1
Прямое действие⚡Z,Обыкновенный царизм,5,0,0,1,0,1,1,0,0,1,0,9,0,0,0,0,0,1
Прямое действие⚡Z,ПриZрак Новороссии,0,0,0,2,9,5,2,0,3,1,1,23,0,0,0,0,0,1
Прямое действие⚡Z,Русское чучхе,15,29,6,25,25,32,16,21,19,15,7,210,0,0,0,0,0,1
Прямое действие⚡Z,Синяя Z Борода,15,3,4,7,5,9,7,3,3,5,5,66,0,0,0,0,0,1
Прямое действие⚡Z,Старый Шахтёр,9,8,2,4,3,0,0,0,1,2,4,33,0,0,0,0,0,1
Прямое действие⚡Z,Уральский ПартиZан,0,0,3,2,1,3,5,5,2,0,1,22,0,0,0,0,0,1
Прямое действие⚡Z,Уральский прищур AltZ (Кирилл Имашев),10,9,11,5,0,4,6,7,2,10,6,70,0,0,0,0,0,1
Прямое действие⚡Z,Astra Militarum [Z],0,0,0,2,0,0,1,2,0,0,0,5,0,0,0,1,0,0
Прямое действие⚡Z,barbie at war 🍀 Кристины Мельниковой,6,1,0,0,0,1,0,0,0,0,0,8,0,0,0,1,0,0
Прямое действие⚡Z,better call ТИЛЛЕРТ,0,0,0,0,0,0,1,1,3,3,3,11,0,0,0,1,0,0
Прямое действие⚡Z,Colonelcassad,2,1,0,1,0,1,0,0,0,0,0,5,0,0,0,1,0,0
Прямое действие⚡Z,Readovka,19,2,2,0,0,0,0,0,0,0,0,23,1,0,0,0,0,0
Прямое действие⚡Z,SybariticNews,0,0,0,4,5,1,0,0,0,0,0,10,1,0,0,1,0,0
Прямое действие⚡Z,TF SURICATS,0,0,0,0,4,8,0,0,1,0,0,13,0,0,0,1,0,0
Прямое действие⚡Z,unknown,16,6,3,14,8,1,12,2,0,0,0,62,0,0,0,0,1,0
Прямое действие⚡Z,Адвокат прямого действия⚡️,0,0,0,0,4,3,1,0,1,6,4,19,1,0,0,0,0,0
Прямое действие⚡Z,Альфонс садится на коня🍓,0,0,5,6,3,0,0,2,2,1,0,19,0,0,0,0,1,0
Прямое действие⚡Z,Берсенев,4,0,0,0,0,1,0,1,1,0,0,7,0,0,0,1,0,0
Прямое действие⚡Z,Беспощадная Россия,0,0,0,0,0,0,2,6,5,1,0,14,0,0,0,1,0,0
Прямое действие⚡Z,В .Ч. (К.),0,0,0,0,0,0,0,6,1,1,2,10,0,0,0,1,0,0
Прямое действие⚡Z,Владимир Линдерман,0,0,0,5,2,6,1,1,1,2,0,18,0,0,1,0,0,0
Прямое действие⚡Z,Гвардейская 200-я бригада ЛенВО 🇷🇺,0,0,0,0,0,0,0,4,6,0,0,10,0,0,0,1,0,0
Прямое действие⚡Z,Говорит ТопаZ [ESP],0,0,0,0,0,0,0,0,4,1,0,5,0,0,0,1,0,0
Прямое действие⚡Z,Говорливый ящик,0,0,0,0,0,0,6,2,1,0,2,11,0,0,0,1,0,0
Прямое действие⚡Z,Дарья Дорохина | Сны Персефоны | Философская психология,1,4,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0
Прямое действие⚡Z,Другая Пенза,0,0,0,0,0,0,2,2,5,2,0,11,0,0,0,1,0,0
Прямое действие⚡Z,Другая Удмуртия,0,0,4,1,7,7,4,4,1,0,0,28,0,0,0,0,1,0
Прямое действие⚡Z,Другой Крым,0,0,0,0,0,0,2,2,0,1,5,10,0,0,0,1,0,0
Прямое действие⚡Z,Другой Ярославль,0,0,0,0,0,0,1,2,5,0,1,9,0,0,0,1,0,0
Прямое действие⚡Z,Клуб рассерженных патриотов,0,0,0,0,0,12,2,0,0,0,0,14,0,0,0,1,0,0
Прямое действие⚡Z,ЛЕДОРУБ,1,1,0,1,1,1,5,1,2,1,1,15,1,0,0,0,0,0
Прямое действие⚡Z,Листва: Москва,0,1,0,0,0,0,1,0,1,6,0,9,1,0,0,0,0,0
